connectivity,integration_hh_t
222.0,7.8207
464.0,10.9521
410.0,10.6729
490.0,11.3994
438.0,10.8755
437.0,9.7811
417.0,10.6834
411.0,9.8698
329.0,7.9174
527.0,12.0558
463.0,9.0947
506.0,11.95
419.0,10.3189
194.0,8.0047
402.0,10.715
561.0,12.4558
356.0,10.4677
262.0,9.6085
256.0,9.5747
456.0,10.9742
419.0,10.0428
170.0,6.5266
503.0,10.4176
390.0,9.7987
